category,term,description,number_of_genes,number_of_genes_in_background,p_value,fdr,preferredNames
HPO,HP:0010978,Abnormality of immune system physiology,29,1347,1.07e-08,1.09e-05,"MAPK1,CSNK2A1,HSD17B1,NR3C1,CHRM3,RORA,BCHE,EGFR,PPARG,CYP11B1,GLUL,PLG,ADAM17,PRKDC,MET,RORC,DYRK1A,PDE4D,CTSB,AR,PIK3CD,POLA1,JAK2,TBXAS1,FGFR1,ESR1,NTRK1,TYK2,JAK3"
HPO,HP:0030972,Abnormal systemic blood pressure,15,369,2.79e-08,2.43e-05,"NR3C1,PPARG,ACE,CYP11B1,F2,HSD11B2,MET,CACNA1H,SERPINA6,PDE4D,NR3C2,PDE3A,CYP17A1,JAK2,NTRK1"
HPO,EFO:0004586,Complete blood cell count,43,2849,5.05e-08,3.85e-05,"CYP27B1,NR3C1,FLT3,CDC25B,CHRM3,RORA,EGFR,PPARG,F2,PLG,PPARD,PTPN2,MET,NOS2,CACNA1H,NR1I2,DYRK1A,ESR2,CTSB,NR3C2,PDE3A,TOP1,CYP17A1,CYP2C19,PTPN1,ABL1,ALOX5,GABBR1,PIK3CD,POLA1,JAK2,G6PD,CYP19A1,PPARA,IL6,TBXAS1,TOP2A,GC,GPBAR1,NTRK1,TYK2,NR1H3,PTPN11"
HPO,HP:0012243,Abnormal reproductive system morphology,25,1117,6.51e-08,4.67e-05,"MAPK1,STS,NR3C1,CHRM3,RORA,PPARG,CYP11B1,F2,PLG,PRKDC,DYRK1A,PDE4D,CYP17A1,ABL1,AR,HSD17B3,POLA1,RPS6KA3,AKR1C2,CYP19A1,FGFR1,ESR1,JAK3,SRD5A2,PTPN11"
HPO,EFO:0004308,Leukocyte count,35,2057,8.37e-08,5.67e-05,"CYP27B1,NR3C1,FLT3,RORA,EGFR,PPARG,F2,PPARD,PTPN2,MET,NOS2,CACNA1H,NR1I2,DYRK1A,CTSB,NR3C2,PDE3A,CYP2C19,PTPN1,ABL1,ALOX5,GABBR1,PIK3CD,JAK2,CYP19A1,PPARA,IL6,TBXAS1,TOP2A,GC,GPBAR1,NTRK1,TYK2,NR1H3,PTPN11"
HPO,EFO:0004908,Testosterone measurement,16,465,8.65e-08,5.67e-05,"CYP27B1,RORA,PPARG,CYP11B1,UGT2B7,PDE2A,ESR2,CYP17A1,AR,SHBG,CYP19A1,PPARA,OPRM1,ESR1,TYK2,NR1H4"
HPO,EFO:0004730,Hormone measurement,29,1527,1.55e-07,9.2e-05,"CYP27B1,NR3C1,RORA,POLB,PPARG,CYP11B1,UGT2B7,PDE2A,ESR2,PDE4D,PDE3A,SREBF2,TOP1,DRD2,CYP17A1,PTPN1,AR,RPS6KA3,SHBG,AKR1C3,JAK2,CYP19A1,HCRTR1,PPARA,OPRM1,ESR1,TYK2,NR1H4,NR1H3"
HPO,EFO:0007937,Blood protein measurement,32,1810,1.52e-07,9.2e-05,"CTSD,FLT3,RORA,MAPK3,KDR,BCHE,CDK2,CA2,ACE,FABP1,CDC25A,F2,PLG,MET,BACE1,RORC,CACNA1H,HSP90AA1,PDE4D,CTSB,ABL1,PLAU,F10,SHBG,AKR1C1,ESR1,GC,HTR2A,SRD5A2,ABCB1,PTPN11,PREP"
HPO,HP:0010460,Abnormality of the female genitalia,15,422,1.51e-07,9.2e-05,"NR3C1,CHRM3,PPARG,CYP11B1,PLG,PDE4D,CYP17A1,AR,RPS6KA3,CYP19A1,FGFR1,ESR1,JAK3,SRD5A2,PTPN11"
HPO,HP:0011025,Abnormal cardiovascular system physiology,25,1169,1.53e-07,9.2e-05,"MAPK1,NR3C1,KCNH2,BCHE,PPARG,ACE,CYP11B1,GLUL,F2,HSD11B2,MET,CACNA1H,DYRK1A,SERPINA6,PDE4D,NR3C2,PDE3A,CYP17A1,PLAU,F10,RPS6KA3,JAK2,FGFR1,NTRK1,PTPN11"
HPO,EFO:0005278,Cardiovascular disease biomarker measurement,36,2228,1.85e-07,9.38e-05,"CYP51A1,FLT3,CHRM3,RORA,SLC6A4,KCNH2,POLB,SLC6A3,PPARG,HMGCR,NPC1L1,ACHE,UGT2B7,PLG,MET,BACE1,NR1I2,NR3C2,PDE3A,TOP1,DRD2,CYP17A1,CYP2C19,AR,SHBG,JAK2,PPARA,IL6,FGFR1,CHRM2,ESR1,NR1H4,NR1H3,PTPN11,PREP,NR1H2"
HPO,HP:0000078,Abnormality of the genital system,27,1358,1.87e-07,9.38e-05,"MAPK1,STS,NR3C1,CHRM3,RORA,PPARG,CYP11B1,F2,PLG,PRKDC,DYRK1A,PDE4D,CYP17A1,ABL1,PLAU,AR,HSD17B3,F10,POLA1,RPS6KA3,AKR1C2,CYP19A1,FGFR1,ESR1,JAK3,SRD5A2,PTPN11"
HPO,HP:0011276,Vascular skin abnormality,15,433,2.08e-07,9.74e-05,"MAPK1,EGFR,PPARG,GLUL,F2,ADAM17,CTSB,ABL1,PLAU,F10,POLA1,RPS6KA3,JAK2,NTRK1,PTPN11"
HPO,EFO:0004298,Cardiovascular measurement,37,2378,3.01e-07,0.00014,"CYP51A1,FLT3,CHRM3,RORA,SLC6A4,KCNH2,POLB,SLC6A3,PPARG,HMGCR,NPC1L1,ACHE,UGT2B7,PLG,MET,BACE1,NR1I2,NR3C2,PDE3A,TOP1,DRD2,CYP17A1,CYP2C19,AR,SHBG,JAK2,PPARA,IL6,FGFR1,CHRM2,ESR1,NTRK1,NR1H4,NR1H3,PTPN11,PREP,NR1H2"
HPO,HP:0002924,Obsolete Decreased circulating aldosterone level,5,19,3.99e-07,0.00017,"NR3C1,CYP11B1,HSD11B2,NR3C2,CYP17A1"
HPO,HP:0012649,Increased inflammatory response,22,981,4.39e-07,0.00018,"MAPK1,HSD17B1,NR3C1,RORA,EGFR,PPARG,CYP11B1,PLG,ADAM17,PRKDC,MET,RORC,DYRK1A,CTSB,AR,PIK3CD,POLA1,JAK2,FGFR1,ESR1,NTRK1,JAK3"
HPO,HP:0000818,Abnormality of the endocrine system,23,1070,4.78e-07,0.00019,"CYP27B1,NR3C1,PPARG,CYP11B1,F2,HSD11B2,MET,RORC,DYRK1A,ESR2,PDE4D,NR3C2,HSD11B1,CYP17A1,AR,HSD17B3,POLA1,CYP19A1,FGFR1,ESR1,NTRK1,SRD5A2,PTPN11"
HPO,HP:0030087,Abnormal circulating testosterone concentration,7,69,5.98e-07,0.00023,"NR3C1,CYP11B1,F2,CYP17A1,AR,POLA1,FGFR1"
HPO,HP:0000008,Abnormal morphology of female internal genitalia,13,355,7.77e-07,0.00028,"CHRM3,PPARG,CYP11B1,PLG,CYP17A1,AR,RPS6KA3,CYP19A1,FGFR1,ESR1,JAK3,SRD5A2,PTPN11"
HPO,HP:0000062,Ambiguous genitalia,8,106,7.51e-07,0.00028,"NR3C1,CYP11B1,CYP17A1,AR,HSD17B3,AKR1C2,CYP19A1,SRD5A2"
HPO,HP:0000079,Abnormality of the urinary system,29,1657,8.27e-07,0.00029,"MAPK1,CYP27B1,CHRM3,RORA,SIGMAR1,CA2,ACE,CYP11B1,F2,PLG,HSD11B2,MET,CACNA1H,DYRK1A,PDE4D,NR3C2,CYP17A1,ABL1,AR,HSD17B3,F10,PIK3CD,POLA1,RPS6KA3,G6PD,FGFR1,NTRK1,SRD5A2,PTPN11"
HPO,HP:0032263,Increased blood pressure,12,303,9.61e-07,0.00033,"NR3C1,PPARG,CYP11B1,F2,HSD11B2,MET,CACNA1H,SERPINA6,NR3C2,PDE3A,CYP17A1,JAK2"
HPO,HP:0010929,Abnormal blood cation concentration,11,250,1.04e-06,0.00034,"CYP27B1,NR3C1,KCNH2,CYP11B1,F2,HSD11B2,MET,PDE4D,NR3C2,CYP17A1,FGFR1"
HPO,HP:0003351,Decreased circulating renin level,4,9,1.13e-06,0.00036,"CYP11B1,HSD11B2,NR3C2,CYP17A1"
HPO,HP:0000811,Abnormal external genitalia,21,967,1.38e-06,0.00042,"MAPK1,STS,NR3C1,CHRM3,RORA,PPARG,CYP11B1,F2,PRKDC,DYRK1A,PDE4D,CYP17A1,ABL1,AR,HSD17B3,POLA1,AKR1C2,CYP19A1,FGFR1,SRD5A2,PTPN11"
HPO,HP:0000080,Abnormality of reproductive system physiology,17,659,1.68e-06,0.0005,"NR3C1,CHRM3,PPARG,CYP11B1,F2,PDE4D,CYP17A1,PLAU,AR,HSD17B3,F10,POLA1,CYP19A1,FGFR1,ESR1,SRD5A2,PTPN11"
HPO,HP:0000707,Abnormality of the nervous system,45,3471,1.75e-06,0.00051,"MAPK1,CSNK2A1,STS,SLC6A2,CYP27B1,NR3C1,CTSD,CHRM3,RORA,KCNH2,BCHE,SLC6A3,SIGMAR1,CA2,PPARG,ACE,CYP11B1,GLUL,F2,PLG,PRKDC,HSD11B2,MET,CACNA1H,PDE2A,DYRK1A,PDE4D,PDE3A,TOP1,CYP17A1,ABL1,AR,F10,PIK3CD,POLA1,RPS6KA3,JAK2,TBXAS1,FGFR1,ESR1,NTRK1,JAK3,ABCB1,PTPN11,CYP2D6"
HPO,HP:0011354,Generalized abnormality of skin,19,821,1.89e-06,0.00053,"MAPK1,EGFR,PPARG,GLUL,F2,ADAM17,MET,CTSB,ABL1,PLAU,F10,POLA1,RPS6KA3,JAK2,G6PD,FGFR1,NTRK1,NR1H4,PTPN11"
HPO,HP:0000137,Abnormality of the ovary,9,165,1.96e-06,0.00054,"PPARG,CYP11B1,PLG,CYP17A1,AR,CYP19A1,FGFR1,ESR1,PTPN11"
HPO,HP:0000771,Gynecomastia,7,84,2.05e-06,0.00055,"CYP11B1,F2,CYP17A1,AR,HSD17B3,CYP19A1,FGFR1"
HPO,HP:0000858,Irregular menstruation,5,28,2.13e-06,0.00056,"NR3C1,PPARG,CYP11B1,PDE4D,CYP17A1"
HPO,HP:0000812,Abnormal internal genitalia,13,391,2.19e-06,0.00057,"CHRM3,PPARG,CYP11B1,PLG,CYP17A1,AR,RPS6KA3,CYP19A1,FGFR1,ESR1,JAK3,SRD5A2,PTPN11"
HPO,HP:0011121,Abnormality of skin morphology,28,1648,2.37e-06,0.0006,"MAPK1,STS,EGFR,PPARG,CYP11B1,GLUL,F2,ADAM17,MET,CACNA1H,PDE4D,CTSB,HSD11B1,ABL1,PLAU,F10,PIK3CD,POLA1,RPS6KA3,JAK2,G6PD,CYP19A1,FGFR1,ESR1,NTRK1,JAK3,NR1H4,PTPN11"
HPO,HP:0031065,Abnormal ovarian morphology,8,125,2.41e-06,0.0006,"PPARG,CYP11B1,CYP17A1,AR,CYP19A1,FGFR1,ESR1,PTPN11"
HPO,HP:0012337,Abnormal homeostasis,24,1275,2.61e-06,0.00064,"MAPK1,NR3C1,CA2,PPARG,F2,HSD11B2,MET,PDE4D,NR3C2,HSD11B1,CYP17A1,ABL1,AR,PIK3CD,POLA1,JAK2,G6PD,CYP19A1,FGFR1,OPRM1,ESR1,NTRK1,NR1H4,PTPN11"
HPO,EFO:0007010,Drug use measurement,13,403,3.02e-06,0.00071,"CYP27B1,FLT3,RORA,PPARG,HMGCR,ACE,MET,RORC,AKR1B10,TOP1,SHBG,TYK2,PTPN11"
HPO,EFO:0007988,Myeloid white cell count,25,1390,3.46e-06,0.00077,"CYP27B1,NR3C1,FLT3,RORA,PPARG,PTPN2,MET,NOS2,CACNA1H,DYRK1A,CTSB,NR3C2,PDE3A,PTPN1,ABL1,GABBR1,JAK2,CYP19A1,PPARA,IL6,TBXAS1,TOP2A,GC,TYK2,PTPN11"
HPO,HP:0000028,Cryptorchidism,16,619,3.41e-06,0.00077,"MAPK1,STS,CHRM3,RORA,DYRK1A,PDE4D,CYP17A1,ABL1,AR,HSD17B3,POLA1,AKR1C2,CYP19A1,FGFR1,SRD5A2,PTPN11"
HPO,HP:0010930,Abnormal blood monovalent inorganic cation concentration,8,131,3.36e-06,0.00077,"NR3C1,KCNH2,CYP11B1,HSD11B2,MET,NR3C2,CYP17A1,FGFR1"
HPO,EFO:0011008,Sex hormone measurement,20,944,3.65e-06,0.0008,"CYP27B1,NR3C1,RORA,PPARG,CYP11B1,UGT2B7,PDE2A,ESR2,PDE3A,TOP1,CYP17A1,AR,RPS6KA3,SHBG,CYP19A1,PPARA,OPRM1,ESR1,TYK2,NR1H4"
HPO,HP:0011123,Inflammatory abnormality of the skin,14,479,3.75e-06,0.0008,"HSD17B1,NR3C1,RORA,EGFR,CYP11B1,ADAM17,RORC,DYRK1A,CTSB,AR,PIK3CD,JAK2,ESR1,JAK3"
HPO,HP:0001871,Abnormality of blood and blood-forming tissues,23,1214,3.93e-06,0.00081,"MAPK1,CSNK2A1,FLT3,CHRM3,CYP2C9,CA2,CYP11B1,F2,PLG,MET,PDE4D,ABL1,PLAU,F10,PIK3CD,JAK2,G6PD,TBXAS1,NTRK1,TYK2,JAK3,NR1H4,PTPN11"
HPO,HP:0000035,Abnormal testis morphology,18,793,4.7e-06,0.00096,"MAPK1,STS,CHRM3,RORA,CYP11B1,F2,DYRK1A,PDE4D,CYP17A1,ABL1,AR,HSD17B3,POLA1,AKR1C2,CYP19A1,FGFR1,SRD5A2,PTPN11"
HPO,HP:0003117,Abnormal circulating hormone concentration,12,357,4.94e-06,0.00099,"CYP27B1,NR3C1,PPARG,CYP11B1,F2,HSD11B2,PDE4D,CYP17A1,AR,POLA1,FGFR1,ESR1"
HPO,EFO:0004732,Lipoprotein measurement,25,1426,5.38e-06,0.0011,"FLT3,RORA,PPARG,HMGCR,NPC1L1,CDC25A,UGT2B7,F2,PLG,BACE1,NR1I2,ESR2,PDE4D,PDE3A,TOP1,AR,SHBG,JAK2,PPARA,IL6,OPRM1,HTR2A,NR1H4,NR1H3,PTPN11"
HPO,HP:0011042,Abnormal blood potassium concentration,7,99,5.68e-06,0.0011,"NR3C1,KCNH2,CYP11B1,HSD11B2,MET,NR3C2,CYP17A1"
HPO,HP:0000144,Decreased fertility,10,245,6.23e-06,0.0012,"NR3C1,CHRM3,F2,CYP17A1,AR,HSD17B3,CYP19A1,FGFR1,SRD5A2,PTPN11"
HPO,HP:0002900,Hypokalemia,6,67,7.69e-06,0.0014,"NR3C1,KCNH2,CYP11B1,HSD11B2,MET,CYP17A1"
HPO,HP:0025031,Abnormality of the digestive system,34,2389,7.65e-06,0.0014,"MAPK1,CSNK2A1,CYP27B1,CHRM3,RORA,BCHE,SLC6A3,EGFR,SIGMAR1,CA2,PPARG,CYP11B1,F2,PLG,ADAM17,MET,DYRK1A,NR3C2,ABL1,AR,F10,PIK3CD,POLA1,RPS6KA3,JAK2,G6PD,CYP19A1,TBXAS1,FGFR1,ESR1,NTRK1,JAK3,NR1H4,PTPN11"
HPO,HP:0025142,Constitutional symptom,19,906,7.59e-06,0.0014,"CYP27B1,NR3C1,KCNH2,SIGMAR1,CA2,PPARG,F2,MET,CACNA1H,SERPINA6,ABL1,RPS6KA3,JAK2,G6PD,CYP19A1,FGFR1,ESR1,NTRK1,PTPN11"
HPO,HP:0025032,Abnormality of digestive system physiology,28,1763,8.43e-06,0.0015,"MAPK1,CSNK2A1,CYP27B1,CHRM3,RORA,SLC6A3,EGFR,SIGMAR1,CYP11B1,F2,ADAM17,MET,DYRK1A,NR3C2,ABL1,AR,F10,PIK3CD,POLA1,RPS6KA3,JAK2,G6PD,FGFR1,ESR1,NTRK1,JAK3,NR1H4,PTPN11"
HPO,HP:0000822,Hypertension,10,256,9.02e-06,0.0016,"NR3C1,PPARG,CYP11B1,HSD11B2,CACNA1H,SERPINA6,NR3C2,PDE3A,CYP17A1,JAK2"
HPO,EFO:0004503,Hematological measurement,52,4592,1.07e-05,0.0018,"CYP51A1,CYP27B1,NR3C1,FLT3,CDC25B,CHRM3,RORA,SLC6A4,EGFR,PPARG,F2,PLG,PPARD,PTPN2,PRKDC,MET,BACE1,NOS2,CACNA1H,NR1I2,DYRK1A,ESR2,CTSB,NR3C2,PDE3A,TOP1,NR1I3,CYP17A1,CYP2C19,PTPN1,ABL1,ALOX5,F10,GABBR1,PIK3CD,POLA1,SHBG,JAK2,G6PD,CYP19A1,PPARA,IL6,TBXAS1,FGFR1,TOP2A,GC,CA1,GPBAR1,NTRK1,TYK2,NR1H3,PTPN11"
HPO,EFO:0007987,Granulocyte count,23,1288,1.02e-05,0.0018,"CYP27B1,NR3C1,FLT3,RORA,PPARG,PTPN2,MET,NOS2,CACNA1H,DYRK1A,CTSB,NR3C2,PTPN1,GABBR1,JAK2,CYP19A1,PPARA,IL6,TBXAS1,TOP2A,GC,TYK2,PTPN11"
HPO,HP:0000306,Abnormality of the chin,10,261,1.06e-05,0.0018,"MAPK1,CA2,PPARG,PRKDC,PDE4D,ABL1,PIK3CD,RPS6KA3,FGFR1,PTPN11"
HPO,HP:0011122,Abnormality of skin physiology,14,524,1.01e-05,0.0018,"HSD17B1,NR3C1,RORA,EGFR,CYP11B1,ADAM17,RORC,DYRK1A,CTSB,AR,PIK3CD,JAK2,ESR1,JAK3"
HPO,HP:0000032,Abnormality of male external genitalia,19,933,1.14e-05,0.0019,"MAPK1,STS,CHRM3,RORA,CYP11B1,F2,PRKDC,DYRK1A,PDE4D,CYP17A1,ABL1,AR,HSD17B3,POLA1,AKR1C2,CYP19A1,FGFR1,SRD5A2,PTPN11"
HPO,HP:0000927,Abnormality of skeletal maturation,11,327,1.24e-05,0.002,"PPARG,CYP11B1,PDE4D,HSD11B1,CYP17A1,POLA1,RPS6KA3,CYP19A1,FGFR1,ESR1,PTPN11"
HPO,HP:0008373,Puberty and gonadal disorders,14,536,1.3e-05,0.0021,"NR3C1,PPARG,CYP11B1,F2,PDE4D,HSD11B1,CYP17A1,AR,HSD17B3,POLA1,CYP19A1,FGFR1,ESR1,PTPN11"
HPO,EFO:0004587,Lymphocyte count,16,694,1.38e-05,0.0022,"NR3C1,FLT3,EGFR,F2,PPARD,PTPN2,NR1I2,NR3C2,CYP2C19,PTPN1,ABL1,CYP19A1,GC,NTRK1,TYK2,NR1H3"
HPO,HP:0031093,Abnormal breast morphology,11,332,1.42e-05,0.0022,"CYP11B1,F2,DYRK1A,CYP17A1,AR,HSD17B3,PIK3CD,CYP19A1,FGFR1,ESR1,PTPN11"
HPO,HP:0001595,Abnormal hair morphology,20,1040,1.48e-05,0.0023,"MAPK1,CSNK2A1,CYP27B1,NR3C1,EGFR,PPARG,CYP11B1,F2,ADAM17,PDE4D,CYP17A1,AR,PIK3CD,POLA1,RPS6KA3,CYP19A1,FGFR1,NTRK1,SRD5A2,PTPN11"
HPO,HP:0000795,Abnormality of the urethra,11,345,2e-05,0.003,"CHRM3,DYRK1A,PDE4D,CYP17A1,ABL1,AR,HSD17B3,POLA1,FGFR1,SRD5A2,PTPN11"
HPO,HP:0011458,Abdominal symptom,24,1448,2.14e-05,0.0031,"CSNK2A1,CYP27B1,CHRM3,RORA,SLC6A3,EGFR,SIGMAR1,CYP11B1,F2,ADAM17,MET,DYRK1A,NR3C2,ABL1,PIK3CD,POLA1,RPS6KA3,JAK2,G6PD,FGFR1,ESR1,NTRK1,JAK3,PTPN11"
HPO,HP:0012029,Abnormal urine hormone level,3,6,2.15e-05,0.0031,"NR3C1,CYP11B1,CYP17A1"
HPO,EFO:0004627,IGF-1 measurement,9,227,2.3e-05,0.0033,"PPARG,ESR2,PDE4D,SREBF2,PTPN1,JAK2,OPRM1,ESR1,NR1H3"
HPO,HP:0000147,Polycystic ovaries,5,48,2.32e-05,0.0033,"PPARG,CYP11B1,CYP17A1,CYP19A1,ESR1"
HPO,EFO:0004574,Total cholesterol measurement,13,497,2.65e-05,0.0037,"FLT3,RORA,PPARG,HMGCR,NPC1L1,UGT2B7,BACE1,NR1I2,TOP1,SHBG,JAK2,PPARA,PTPN11"
HPO,EFO:0004842,Eosinophil count,16,734,2.7e-05,0.0037,"CYP27B1,FLT3,RORA,PPARG,PTPN2,NOS2,CACNA1H,DYRK1A,PTPN1,GABBR1,JAK2,PPARA,IL6,TBXAS1,GC,PTPN11"
HPO,EFO:0006843,Infectious disease biomarker,20,1087,2.76e-05,0.0037,"NR3C1,FLT3,EGFR,F2,PPARD,PTPN2,NR1I2,PDE4D,NR3C2,CYP2C19,PTPN1,ABL1,GABBR1,CYP19A1,OPRM1,GC,NTRK1,TYK2,NR1H3,ABCB1"
HPO,HP:0004325,Decreased body weight,22,1274,2.72e-05,0.0037,"CSNK2A1,CYP27B1,CHRM3,SIGMAR1,CA2,PPARG,F2,HSD11B2,MET,DYRK1A,PDE4D,NR3C2,CYP17A1,ABL1,POLA1,RPS6KA3,JAK2,CYP19A1,FGFR1,JAK3,NR1H4,PTPN11"
HPO,HP:0000978,Bruising susceptibility,7,130,3.04e-05,0.004,"MAPK1,F2,PLAU,F10,JAK2,NTRK1,PTPN11"
HPO,HP:0200039,Pustule,4,24,3.01e-05,0.004,"EGFR,ADAM17,CTSB,JAK3"
HPO,EFO:0005127,Cancer biomarker measurement,11,365,3.31e-05,0.0043,"CHRM3,PPARG,ESR2,PDE4D,SREBF2,PTPN1,JAK2,OPRM1,ESR1,NR1H3,NR1H2"
HPO,HP:0032180,Abnormal circulating metabolite concentration,19,1010,3.34e-05,0.0043,"CYP27B1,NR3C1,KCNH2,SLC6A3,PPARG,CYP11B1,GLUL,F2,PLG,HSD11B2,MET,PDE4D,NR3C2,CYP17A1,AR,G6PD,CYP19A1,FGFR1,NR1H4"
HPO,HP:0000142,Abnormal vagina morphology,6,90,3.71e-05,0.0047,"CHRM3,CYP11B1,CYP17A1,AR,JAK3,SRD5A2"
HPO,HP:0002664,Neoplasm,16,763,4.25e-05,0.0053,"STS,FLT3,KDR,BCHE,EGFR,CYP11B1,F2,MET,ESR2,ABL1,AR,JAK2,FGFR1,ESR1,NTRK1,PTPN11"
HPO,EFO:0004582,Liver enzyme measurement,20,1124,4.39e-05,0.0054,"CTSD,RORA,BCHE,PPARG,FABP1,UGT2B7,PPARD,MET,RORC,SERPINA6,CTSB,NR3C2,PDE3A,ALOX5,GABBR1,CYP19A1,PPARA,NR1H4,ABCB1,PTPN11"
HPO,HP:0005930,Abnormal epiphysis morphology,9,247,4.34e-05,0.0054,"CYP27B1,CA2,PDE4D,PDE3A,PIK3CD,RPS6KA3,CYP19A1,ESR1,PTPN11"
HPO,HP:0000130,Abnormality of the uterus,8,195,5.26e-05,0.0062,"CHRM3,CYP11B1,PLG,CYP17A1,AR,RPS6KA3,FGFR1,ESR1"
HPO,HP:0002615,Hypotension,6,96,5.22e-05,0.0062,"ACE,MET,SERPINA6,PDE4D,NR3C2,NTRK1"
HPO,HP:0011843,Abnormal musculoskeletal physiology,22,1330,5.14e-05,0.0062,"MAPK1,CSNK2A1,CYP27B1,SIGMAR1,CA2,PPARG,CYP11B1,GLUL,F2,MET,DYRK1A,PDE4D,HSD11B1,CYP17A1,ABL1,POLA1,RPS6KA3,CYP19A1,FGFR1,ESR1,NTRK1,PTPN11"
HPO,HP:0005616,Accelerated skeletal maturation,5,58,5.4e-05,0.0063,"PPARG,CYP11B1,PDE4D,HSD11B1,CYP19A1"
HPO,HP:0001507,Growth abnormality,30,2182,5.82e-05,0.0066,"MAPK1,CSNK2A1,CYP27B1,CHRM3,SIGMAR1,CA2,PPARG,CYP11B1,F2,PRKDC,HSD11B2,MET,DYRK1A,PDE4D,NR3C2,PDE3A,HSD11B1,CYP17A1,ABL1,AR,POLA1,RPS6KA3,JAK2,CYP19A1,FGFR1,ESR1,NTRK1,JAK3,NR1H4,PTPN11"
HPO,HP:0002011,Morphological central nervous system abnormality,32,2416,6.32e-05,0.0071,"MAPK1,CSNK2A1,NR3C1,CTSD,RORA,SLC6A3,SIGMAR1,CA2,ACE,CYP11B1,GLUL,F2,PLG,PRKDC,HSD11B2,PDE2A,DYRK1A,PDE4D,PDE3A,CYP17A1,AR,F10,PIK3CD,POLA1,RPS6KA3,JAK2,FGFR1,ESR1,JAK3,ABCB1,PTPN11,CYP2D6"
HPO,EFO:0004611,Low density lipoprotein cholesterol measurement,14,624,6.57e-05,0.0073,"RORA,PPARG,HMGCR,NPC1L1,UGT2B7,BACE1,NR1I2,TOP1,AR,SHBG,JAK2,PPARA,NR1H4,PTPN11"
HPO,HP:0000141,Amenorrhea,7,148,6.68e-05,0.0073,"PPARG,F2,CYP17A1,AR,CYP19A1,FGFR1,ESR1"
HPO,HP:0000786,Primary amenorrhea,6,100,6.48e-05,0.0073,"PPARG,CYP17A1,AR,CYP19A1,FGFR1,ESR1"
HPO,HP:0008684,Aplasia/hypoplasia of the uterus,5,61,6.76e-05,0.0074,"CYP11B1,CYP17A1,AR,FGFR1,ESR1"
HPO,EFO:0004697,Estradiol measurement,4,31,7.43e-05,0.008,"UGT2B7,AR,SHBG,CYP19A1"
HPO,HP:0001061,Acne,4,33,9.28e-05,0.0098,"NR3C1,CYP11B1,AR,ESR1"
HPO,HP:0033127,Abnormality of the musculoskeletal system,38,3173,9.33e-05,0.0098,"MAPK1,CSNK2A1,CYP27B1,CTSD,CHRM3,RORA,SLC6A3,SIGMAR1,CA2,PPARG,ACE,CYP11B1,GLUL,F2,PLG,PRKDC,MET,PDE2A,DYRK1A,SERPINA6,PDE4D,PDE3A,HSD11B1,CYP17A1,ABL1,PLAU,AR,F10,PIK3CD,POLA1,RPS6KA3,JAK2,CYP19A1,TBXAS1,FGFR1,ESR1,NTRK1,PTPN11"
HPO,HP:0000924,Abnormality of the skeletal system,34,2708,0.0001,0.0104,"MAPK1,CSNK2A1,CYP27B1,CTSD,CHRM3,SIGMAR1,CA2,PPARG,ACE,CYP11B1,GLUL,F2,PLG,PRKDC,MET,PDE2A,DYRK1A,PDE4D,PDE3A,HSD11B1,CYP17A1,ABL1,PLAU,AR,F10,PIK3CD,POLA1,RPS6KA3,CYP19A1,TBXAS1,FGFR1,ESR1,NTRK1,PTPN11"
HPO,HP:0001948,Alkalosis,4,34,0.0001,0.0106,"NR3C1,HSD11B2,MET,CYP17A1"
HPO,HP:0010936,Abnormality of the lower urinary tract,14,652,0.0001,0.0106,"CHRM3,SIGMAR1,CACNA1H,DYRK1A,PDE4D,CYP17A1,ABL1,AR,HSD17B3,POLA1,RPS6KA3,FGFR1,SRD5A2,PTPN11"
HPO,EFO:0004612,High density lipoprotein cholesterol measurement,15,740,0.00011,0.0109,"FLT3,RORA,PPARG,CDC25A,F2,BACE1,NR1I2,ESR2,PDE4D,PDE3A,JAK2,OPRM1,HTR2A,NR1H3,PTPN11"
HPO,HP:0000033,"Ambiguous genitalia, male",3,12,0.00011,0.0113,"CYP17A1,AR,SRD5A2"
HPO,HP:0004323,Abnormality of body weight,23,1513,0.00012,0.0119,"CSNK2A1,CYP27B1,CHRM3,SIGMAR1,CA2,PPARG,F2,HSD11B2,MET,DYRK1A,PDE4D,NR3C2,HSD11B1,CYP17A1,ABL1,POLA1,RPS6KA3,JAK2,CYP19A1,FGFR1,JAK3,NR1H4,PTPN11"
HPO,HP:0000789,Infertility,7,167,0.00014,0.0136,"NR3C1,F2,CYP17A1,AR,HSD17B3,CYP19A1,PTPN11"
HPO,EFO:0004872,Inflammatory biomarker measurement,20,1226,0.00014,0.0138,"MAPK1,CYP27B1,FLT3,CHRM3,RORA,PPARG,PLG,PTPN2,BACE1,NR1I2,DYRK1A,CTSB,PDE3A,PTPN1,JAK2,IL6,GC,NR1H4,NR1H3,PTPN11"
HPO,HP:0000271,Abnormality of the face,33,2641,0.00014,0.014,"MAPK1,CSNK2A1,CYP27B1,CTSD,CHRM3,SLC6A3,EGFR,CA2,PPARG,ACE,CYP11B1,GLUL,F2,PLG,ADAM17,PRKDC,PDE2A,DYRK1A,PDE4D,ABL1,PLAU,AR,HSD17B3,F10,PIK3CD,POLA1,RPS6KA3,JAK2,TBXAS1,FGFR1,NTRK1,JAK3,PTPN11"
HPO,HP:0002653,Bone pain,5,73,0.00015,0.0144,"CYP27B1,CA2,MET,CYP19A1,PTPN11"
